# Distribution of StackScore values at Harvard, 2015-06-24
#
#record_count	stackscore	fraction_of_records
13560805	1	0.98078307
76281	2	0.00551701
48500	3	0.00350775
24538	4	0.00177471
17831	5	0.00128962
13232	6	0.00095700
10296	7	0.00074466
7998	8	0.00057845
6962	9	0.00050353
5738	10	0.00041500
4751	11	0.00034362
4114	12	0.00029754
3420	13	0.00024735
3047	14	0.00022037
2312	15	0.00016722
2582	16	0.00018674
2019	17	0.00014602
1810	18	0.00013091
1735	19	0.00012548
1437	20	0.00010393
1413	21	0.00010220
1220	22	0.00008824
1113	23	0.00008050
960	24	0.00006943
958	25	0.00006929
943	26	0.00006820
761	27	0.00005504
735	28	0.00005316
718	29	0.00005193
683	30	0.00004940
643	31	0.00004650
537	32	0.00003884
538	33	0.00003891
461	34	0.00003334
516	35	0.00003732
496	36	0.00003587
441	37	0.00003190
447	38	0.00003233
375	39	0.00002712
394	40	0.00002850
382	41	0.00002763
330	42	0.00002387
331	43	0.00002394
384	44	0.00002777
313	45	0.00002264
293	46	0.00002119
265	47	0.00001917
302	48	0.00002184
253	49	0.00001830
277	50	0.00002003
275	51	0.00001989
243	52	0.00001757
256	53	0.00001852
239	54	0.00001729
266	55	0.00001924
228	56	0.00001649
223	57	0.00001613
240	58	0.00001736
222	59	0.00001606
213	60	0.00001541
204	61	0.00001475
230	62	0.00001663
220	63	0.00001591
195	64	0.00001410
220	65	0.00001591
217	66	0.00001569
207	67	0.00001497
207	68	0.00001497
203	69	0.00001468
213	70	0.00001541
200	71	0.00001446
205	72	0.00001483
224	73	0.00001620
196	74	0.00001418
186	75	0.00001345
199	76	0.00001439
209	77	0.00001512
186	78	0.00001345
202	79	0.00001461
197	80	0.00001425
183	81	0.00001324
177	82	0.00001280
177	83	0.00001280
179	84	0.00001295
170	85	0.00001230
154	86	0.00001114
160	87	0.00001157
155	88	0.00001121
154	89	0.00001114
153	90	0.00001107
148	91	0.00001070
144	92	0.00001041
148	93	0.00001070
144	94	0.00001041
145	95	0.00001049
140	96	0.00001013
141	97	0.00001020
140	98	0.00001013
141	99	0.00001020
140	100	0.00001013
