# Cumulative distribution counting down from stackscore 100
# (derived from distribution in analysis/harvard_stackscore_distribution.dat)
#
#stackscore cumulative_fraction
100 0.00001013
99 0.00002032
98 0.00003045
97 0.00004065
96 0.00005077
95 0.00006126
94 0.00007167
93 0.00008238
92 0.00009279
91 0.00010350
90 0.00011456
89 0.00012570
88 0.00013691
87 0.00014848
86 0.00015962
85 0.00017192
84 0.00018486
83 0.00019766
82 0.00021047
81 0.00022370
80 0.00023795
79 0.00025256
78 0.00026601
77 0.00028113
76 0.00029552
75 0.00030897
74 0.00032315
73 0.00033935
72 0.00035417
71 0.00036864
70 0.00038404
69 0.00039873
68 0.00041370
67 0.00042867
66 0.00044436
65 0.00046028
64 0.00047438
63 0.00049029
62 0.00050692
61 0.00052168
60 0.00053708
59 0.00055314
58 0.00057050
57 0.00058663
56 0.00060312
55 0.00062236
54 0.00063964
53 0.00065816
52 0.00067573
51 0.00069562
50 0.00071565
49 0.00073395
48 0.00075579
47 0.00077496
46 0.00079615
45 0.00081879
44 0.00084656
43 0.00087050
42 0.00089437
41 0.00092200
40 0.00095049
39 0.00097761
38 0.00100994
37 0.00104184
36 0.00107771
35 0.00111503
34 0.00114837
33 0.00118728
32 0.00122612
31 0.00127263
30 0.00132203
29 0.00137396
28 0.00142711
27 0.00148215
26 0.00155036
25 0.00161964
24 0.00168907
23 0.00176957
22 0.00185781
21 0.00196000
20 0.00206393
19 0.00218942
18 0.00232033
17 0.00246635
16 0.00265309
15 0.00282031
14 0.00304068
13 0.00328803
12 0.00358558
11 0.00392919
10 0.00434419
9 0.00484772
8 0.00542617
7 0.00617083
6 0.00712783
5 0.00841745
4 0.01019216
3 0.01369992
2 0.01921693
1 1.00000000
